time,open,high,low,close,px_volume,px_svp_poc,px_svp_formed,px_svp_swept
1780280400,4532.02,4532.83,4530.27,4531.54,1406,,0,0
1780280700,4531.54,4531.76,4529.42,4530.41,1075,,0,0
1780281000,4530.42,4530.42,4523.59,4527.29,2436,,0,0
1780281300,4527.31,4531.11,4527.22,4528.39,2152,,0,0
1780281600,4528.36,4528.37,4522.45,4522.87,2059,,0,0
1780281900,4522.96,4525.07,4521.98,4523.5,2261,,0,0
1780282200,4523.5,4524.01,4522.28,4522.3,2039,,0,0
1780282500,4522.28,4523.53,4521.19,4521.52,1959,,0,0
1780282800,4521.47,4525.58,4521.38,4524.71,1834,,0,0
1780283100,4524.71,4524.85,4517.49,4517.62,2184,,0,0
1780283400,4517.58,4520.4,4515.64,4518.93,2180,,0,0
1780283700,4518.9,4520.03,4514.04,4519.38,2109,,0,0
1780284000,4519.39,4520.17,4517.62,4518.63,1880,,0,0
1780284300,4518.62,4521.41,4518.09,4520.46,1769,,0,0
1780284600,4520.46,4524.1,4519.97,4521.52,1725,,0,0
1780284900,4521.81,4521.85,4514.49,4515.69,1470,,0,0
1780285200,4515.52,4515.74,4509.9,4510.7,1657,,0,0
1780285500,4510.71,4513.33,4509.9,4512.54,1591,,0,0
1780285800,4512.55,4513.95,4511.7,4513.2,1294,,0,0
1780286100,4513.19,4516.34,4512.38,4516.33,1249,,0,0
1780286400,4516.34,4519.67,4515.74,4516.48,1493,,0,0
1780286700,4516.48,4517.3,4513.94,4514.14,1331,,0,0
1780287000,4514.15,4515.05,4512.5,4514.64,1022,,0,0
1780287300,4514.61,4518.53,4514.61,4516.91,1068,,0,0
1780287600,4516.93,4517.8,4516.09,4517.61,912,,0,0
1780287900,4517.61,4517.69,4515.37,4515.85,1083,,0,0
1780288200,4515.85,4516.59,4514.22,4514.4,969,,0,0
1780288500,4514.39,4515.63,4513.63,4515.18,1117,,0,0
1780288800,4515.17,4517.28,4514.41,4514.6,1361,,0,0
1780289100,4514.61,4514.72,4508.64,4510.61,1344,,0,0
1780289400,4510.55,4514.52,4509.72,4514.2,1543,,0,0
1780289700,4514.24,4515.1,4512.66,4514.47,1235,,0,0
1780290000,4514.48,4516.29,4513.63,4516.1,1511,,0,0
1780290300,4516.08,4517.76,4515.71,4516.47,1238,,0,0
1780290600,4516.46,4519.26,4515.34,4518.22,1361,,0,0
1780290900,4518.22,4521.97,4517.59,4521.6,1270,,0,0
1780291200,4521.61,4523.21,4519.7,4522.58,1415,,0,0
1780291500,4522.47,4523.56,4520.4,4520.48,1354,,0,0
1780291800,4520.48,4522.11,4512.71,4513.89,2579,,0,0
1780292100,4513.85,4522.07,4513.69,4520.23,2218,,0,0
1780292400,4520.27,4520.97,4515.38,4519.81,2299,,0,0
1780292700,4519.81,4525.2,4517.39,4524.27,2205,,0,0
1780293000,4524.27,4524.58,4521.15,4523.56,2189,,0,0
1780293300,4523.53,4523.55,4517.16,4518.26,2140,,0,0
1780293600,4518.26,4518.77,4514.2,4516.32,2644,,0,0
1780293900,4516.31,4518.57,4515.43,4517.11,2074,,0,0
1780294200,4517.11,4517.49,4512.76,4514.14,2182,,0,0
1780294500,4514.13,4516.01,4510.14,4511.1,2236,,0,0
1780294800,4511.09,4511.09,4505,4506.22,2422,,0,0
1780295100,4506.2,4514.46,4505.74,4514.24,2180,,0,0
1780295400,4514.46,4514.81,4510.43,4510.69,2061,,0,0
1780295700,4510.69,4510.99,4501.82,4504.68,2559,,0,0
1780296000,4504.68,4506.08,4503.32,4504.62,2070,,0,0
1780296300,4504.61,4504.61,4501.05,4504.56,2223,,0,0
1780296600,4504.57,4504.57,4500.34,4503.63,2327,,0,0
1780296900,4503.66,4504.93,4501.24,4501.7,2156,,0,0
1780297200,4501.78,4508.56,4500.76,4507.77,2344,,0,0
1780297500,4507.77,4510.01,4506.3,4506.45,2262,,0,0
1780297800,4506.3,4509.54,4505.78,4507.29,1908,,0,0
1780298100,4507.28,4508.29,4504.87,4506.84,1793,,0,0
1780298400,4506.84,4507.28,4503.39,4505.21,1677,,0,0
1780298700,4505.21,4506.08,4503.42,4503.93,1876,,0,0
1780299000,4503.91,4507.78,4503.85,4504.74,1753,,0,0
1780299300,4504.74,4506.44,4502.71,4503.49,1857,,0,0
1780299600,4503.49,4503.73,4497.94,4498.2,2181,,0,0
1780299900,4498.2,4500.3,4492.91,4494.56,2375,,0,0
1780300200,4494.56,4496.74,4492.5,4495.76,2095,,0,0
1780300500,4495.76,4503.14,4495.38,4503.14,1936,,0,0
1780300800,4503.15,4504.51,4495.62,4495.67,2336,,0,0
1780301100,4495.79,4499.49,4493.74,4493.94,2182,,0,0
1780301400,4493.93,4498.78,4493.63,4495.68,1848,,0,0
1780301700,4495.72,4496.65,4491.68,4494.92,2108,,0,0
1780302000,4494.98,4496.79,4490.64,4492.71,1879,,0,0
1780302300,4492.7,4496.33,4492.59,4495.93,1470,,0,0
1780302600,4495.94,4496.57,4492.64,4495.74,1532,,0,0
1780302900,4495.77,4496.41,4493.21,4494.64,1420,,0,0
1780303200,4494.64,4500.46,4492.71,4500.17,1746,,0,0
1780303500,4500.12,4502.57,4496.46,4501.29,1816,,0,0
1780303800,4501.26,4501.68,4497.06,4497.23,1737,,0,0
1780304100,4497.24,4499.7,4495.67,4498.08,1642,,0,0
1780304400,4498.09,4500.8,4497.78,4500.58,1827,4515.5835,1,0
1780304700,4500.58,4500.6,4498.33,4499.6,1543,4515.5835,0,0
1780305000,4499.64,4500.18,4498.79,4499.63,1546,4515.5835,0,0
1780305300,4499.64,4505.74,4498.29,4505.67,1946,4515.5835,0,0
1780305600,4505.67,4506.37,4498.71,4499.63,1841,4515.5835,0,0
1780305900,4499.68,4499.78,4496.46,4496.46,1958,4515.5835,0,0
1780306200,4496.5,4497.4,4489.22,4490.75,2470,4515.5835,0,0
1780306500,4490.76,4498.03,4490.76,4497.92,1929,4515.5835,0,0
1780306800,4497.92,4499.29,4494.72,4498.38,1771,4515.5835,0,0
1780307100,4498.38,4498.52,4494,4495.46,1838,4515.5835,0,0
1780307400,4495.46,4498.52,4494.04,4497.88,1717,4515.5835,0,0
1780307700,4497.95,4497.95,4494.47,4496.06,1715,4515.5835,0,0
1780308000,4496.06,4498.99,4496.03,4498.2,1688,4515.5835,0,0
1780308300,4498.18,4501.24,4496.33,4500.16,1616,4515.5835,0,0
1780308600,4500.17,4502.16,4499.72,4501.56,1311,4515.5835,0,0
1780308900,4501.56,4502.03,4499.52,4500.24,1531,4515.5835,0,0
1780309200,4500.24,4500.57,4496.26,4500.52,1646,4515.5835,0,0
1780309500,4500.52,4503.57,4500.47,4500.97,1297,4515.5835,0,0
1780309800,4500.97,4505.37,4500.59,4504.94,1531,4515.5835,0,0
1780310100,4505,4506.72,4503.1,4503.1,1694,4515.5835,0,0
1780310400,4503.21,4507.48,4503.21,4505.93,1636,4515.5835,0,0
1780310700,4506.01,4510.51,4505.34,4509.34,1791,4515.5835,0,0
1780311000,4509.26,4510.99,4507.02,4507.35,1688,4515.5835,0,0
1780311300,4507.35,4507.48,4502.62,4504.04,1863,4515.5835,0,0
1780311600,4504.04,4506.74,4500.25,4500.28,2083,4515.5835,0,0
1780311900,4500.28,4505.82,4499.91,4505.72,1670,4515.5835,0,0
1780312200,4505.78,4505.78,4503.37,4504.99,1413,4515.5835,0,0
1780312500,4505,4509.9,4504.24,4509.85,1598,4515.5835,0,0
1780312800,4509.86,4512.96,4508.69,4508.73,1664,4515.5835,0,0
1780313100,4508.71,4512.02,4507.8,4510.68,1720,4515.5835,0,0
1780313400,4510.66,4512.32,4506.66,4506.84,1638,4515.5835,0,0
1780313700,4506.85,4510.95,4506.24,4510.25,1479,4515.5835,0,0
1780314000,4510.28,4510.73,4506.54,4507.23,1763,4515.5835,0,0
1780314300,4507.24,4509.82,4506.87,4508.71,1439,4515.5835,0,0
1780314600,4508.7,4508.7,4506.51,4507.54,1547,4515.5835,0,0
1780314900,4507.53,4508.12,4505.48,4505.9,1648,4515.5835,0,0
1780315200,4505.91,4506.9,4503.46,4506.05,1864,4515.5835,0,0
1780315500,4506.02,4509.21,4505.99,4507.67,1829,4515.5835,0,0
1780315800,4507.66,4509.6,4503.1,4503.33,1827,4515.5835,0,0
1780316100,4503.33,4505.74,4501.26,4503.43,2019,4515.5835,0,0
1780316400,4503.43,4503.43,4497.52,4501.91,2253,4515.5835,0,0
1780316700,4501.91,4507.75,4501.56,4505.55,2203,4515.5835,0,0
1780317000,4505.56,4505.61,4497.72,4501.03,2325,4515.5835,0,0
1780317300,4501.06,4503.55,4499.23,4503.35,2091,4515.5835,0,0
1780317600,4503.36,4508.35,4499.29,4507.47,2148,4515.5835,0,0
1780317900,4507.46,4510.51,4505.61,4506.88,2572,4515.5835,0,0
1780318200,4506.87,4508.57,4505.33,4505.72,2132,4515.5835,0,0
1780318500,4505.7,4506.21,4498.65,4502.21,2047,4515.5835,0,0
1780318800,4502.2,4503.86,4495.66,4501.75,3145,4515.5835,0,0
1780319100,4501.74,4502.39,4496.35,4501.21,2439,4515.5835,0,0
1780319400,4501.21,4501.21,4472.37,4484.25,3878,4515.5835,0,0
1780319700,4484.3,4489.7,4479.41,4482.24,3669,4515.5835,0,0
1780320000,4482.18,4482.91,4464.04,4466.03,3932,4515.5835,0,0
1780320300,4466.1,4469.32,4462.48,4465,3781,4515.5835,0,0
1780320600,4465.06,4470.06,4459.02,4466.2,4033,4515.5835,0,0
1780320900,4466.18,4478.67,4463.17,4473.05,3803,4515.5835,0,0
1780321200,4473.05,4474.16,4465.4,4467.36,3638,4515.5835,0,0
1780321500,4467.33,4469.53,4463.43,4464.67,3615,4515.5835,0,0
1780321800,4464.4,4465.56,4452.7,4454.63,3901,4515.5835,0,0
1780322100,4454.5,4455.43,4448.95,4450.44,3489,4515.5835,0,0
1780322400,4450.47,4454.54,4447.76,4454.52,3780,4515.5835,0,0
1780322700,4454.55,4461.57,4449.61,4460.59,3578,4515.5835,0,0
1780323000,4460.54,4462.19,4456.15,4461.28,3327,4515.5835,0,0
1780323300,4461.3,4464.8,4454.17,4457.22,3562,4515.5835,0,0
1780323600,4457.23,4461.82,4455.01,4455.26,3194,4515.5835,0,0
1780323900,4455.25,4456.31,4449.77,4456.3,3150,4515.5835,0,0
1780324200,4456.29,4460.57,4453.87,4458.64,3173,4515.5835,0,0
1780324500,4458.33,4460.44,4454.19,4455.48,3045,4515.5835,0,0
1780324800,4455.48,4461.59,4455.24,4459.96,2962,4515.5835,0,0
1780325100,4459.96,4461.25,4453.72,4454.91,2897,4515.5835,0,0
1780325400,4454.91,4456.59,4452.22,4456.13,3156,4515.5835,0,0
1780325700,4456.13,4459.09,4455.01,4458.71,2844,4515.5835,0,0
1780326000,4458.73,4462.35,4457.62,4460.26,2779,4515.5835,0,0
1780326300,4460.25,4465.27,4455.59,4462.7,3113,4515.5835,0,0
1780326600,4462.69,4465.38,4460.78,4464.28,2705,4515.5835,0,0
1780326900,4464.36,4467.25,4463.28,4465.36,2831,4515.5835,0,0
1780327200,4465.34,4467.92,4464.15,4467.1,2409,4515.5835,0,0
1780327500,4467.08,4470.38,4465.86,4468.41,2406,4515.5835,0,0
1780327800,4468.42,4478.91,4468.26,4477.16,3556,4515.5835,0,0
1780328100,4477.15,4479.81,4474.11,4476.78,3231,4515.5835,0,0
1780328400,4476.76,4477.43,4471.2,4472.31,2644,4515.5835,0,0
1780328700,4472.34,4474.72,4468.72,4469.79,2394,4515.5835,0,0
1780329000,4469.78,4472.21,4468.99,4471.2,2320,4515.5835,0,0
1780329300,4471.21,4475.43,4471.19,4474.14,2469,4515.5835,0,0
1780329600,4474.17,4478.44,4472.57,4473.36,2401,4515.5835,0,0
1780329900,4473.36,4474.32,4468.24,4468.74,2121,4515.5835,0,0
1780330200,4468.76,4468.81,4465.23,4467.26,2506,4515.5835,0,0
1780330500,4467.22,4467.55,4463.15,4466.82,2472,4515.5835,0,0
1780330800,4466.82,4468.75,4464.69,4468.28,2101,4515.5835,0,0
1780331100,4468.29,4469.43,4466.81,4468.08,1990,4515.5835,0,0
1780331400,4468.04,4472.17,4467.99,4469.51,2396,4515.5835,0,0
1780331700,4469.46,4471.12,4467.85,4469.28,2229,4515.5835,0,0
1780332000,4469.27,4470.07,4467.85,4468.12,1978,4515.5835,0,0
1780332300,4468.13,4472.02,4467.48,4471.98,2106,4515.5835,0,0
1780332600,4471.97,4480.97,4471.86,4480,2864,4515.5835,0,0
1780332900,4480.06,4482.22,4478.71,4480.13,2827,4515.5835,0,0
1780333200,4480.11,4481.03,4475.63,4476.35,2778,4515.5835,0,0
1780333500,4476.34,4477.42,4471.48,4473.5,2494,4515.5835,0,0
1780333800,4473.51,4476.1,4473.26,4475.07,1861,4515.5835,0,0
1780334100,4475.07,4475.83,4473.5,4475.83,619,4515.5835,0,0
1780334400,4475.83,4476.68,4474.14,4475.19,659,4515.5835,0,0
1780334700,4475.19,4482.87,4472.41,4482.81,878,4515.5835,0,0
1780335000,4483.23,4485.58,4480.51,4481.34,1813,4515.5835,0,0
1780335300,4481.34,4484.58,4480.69,4482.87,1265,4515.5835,0,0
1780335600,4482.88,4491.58,4482.88,4491.58,1554,4515.5835,0,0
1780335900,4491.59,4495.44,4491.24,4491.53,1498,4515.5835,0,0
1780336200,4491.54,4492.04,4489.17,4491.43,1284,4515.5835,0,0
1780336500,4491.48,4491.68,4487.46,4487.56,956,4515.5835,0,0
1780336800,4487.59,4488.45,4486.31,4486.88,764,4515.5835,0,0
1780337100,4486.91,4490.21,4486.75,4489.8,645,4515.5835,0,0
1780337400,4489.8,4490.03,4488.1,4488.64,466,4515.5835,0,0
1780337700,4488.64,4489.39,4486.82,4489.24,1407,4515.5835,0,0
1780338000,4489.23,4490.11,4488.6,4489.22,1608,4515.5835,0,0
1780338300,4489.21,4489.26,4486.54,4486.69,1724,4515.5835,0,0
1780338600,4486.7,4487.31,4484.9,4486.12,1660,4515.5835,0,0
1780338900,4486.12,4487.31,4485.88,4486.11,1423,4515.5835,0,0
1780339200,4486.1,4488.16,4485.94,4487.95,1481,4515.5835,0,0
1780339500,4487.95,4488.64,4487.56,4488.6,1378,4515.5835,0,0
1780339800,4488.61,4488.61,4487.21,4487.22,1554,4515.5835,0,0
1780340100,4487.24,4488.61,4486.57,4486.74,1747,4515.5835,0,0
1780340400,4486.73,4488.25,4485.18,4487.87,1857,4515.5835,0,0
1780340700,4487.86,4488.15,4484.85,4485.27,1458,4515.5835,0,0
1780341000,4485.27,4487.21,4485.25,4485.41,1578,4515.5835,0,0
1780341300,4485.41,4486.51,4484.66,4485.89,1596,4515.5835,0,0
1780341600,4485.86,4486.53,4485.05,4485.77,1549,4515.5835,0,0
1780341900,4485.78,4486.18,4484.37,4484.69,1389,4515.5835,0,0
1780342200,4484.7,4485.72,4483.66,4483.9,1551,4515.5835,0,0
1780342500,4483.9,4485.53,4483.16,4484.39,1771,4515.5835,0,0
1780342800,4484.39,4485.49,4483.31,4483.46,1605,4515.5835,0,0
1780343100,4483.46,4484.34,4482.94,4483.65,1840,4515.5835,0,0
1780343400,4483.66,4483.67,4479.96,4480.19,2361,4515.5835,0,0
1780343700,4480.18,4481.21,4479.17,4481.18,2483,4515.5835,0,0
1780344000,4481.17,4483.87,4480.16,4482.95,1467,4515.5835,0,0
1780344300,4482.92,4484.32,4482.64,4483.44,1063,4515.5835,0,0
1780344600,4483.44,4483.99,4482.47,4483.5,932,4515.5835,0,0
1780344900,4483.48,4484.33,4482.95,4482.95,738,4515.5835,0,0
1780345200,4482.95,4483.26,4482.15,4482.62,779,4515.5835,0,0
1780345500,4482.62,4483.72,4482.43,4483.18,744,4515.5835,0,0
1780345800,4483.16,4484.71,4482.12,4484.56,721,4515.5835,0,0
1780346100,4484.57,4484.7,4483.11,4484.03,694,4515.5835,0,0
1780346400,4484.04,4484.71,4482.48,4482.59,1041,4515.5835,0,0
1780346700,4482.58,4484.02,4481.3,4483.94,996,4515.5835,0,0
1780347000,4483.93,4484.16,4482.43,4483.2,977,4515.5835,0,0
1780347300,4483.18,4485.87,4482.81,4484.07,631,4515.5835,0,0
1780351200,4487.98,4488.51,4482.84,4483.27,1380,4515.5835,0,0
1780351500,4483.29,4483.77,4481.97,4482.6,842,4515.5835,0,0
1780351800,4482.6,4484.84,4482.2,4484.69,892,4515.5835,0,0
1780352100,4484.68,4485.36,4483.94,4484.32,816,4515.5835,0,0
1780352400,4484.33,4485.07,4481.75,4482.77,1111,4515.5835,0,0
1780352700,4482.76,4484.05,4481.49,4481.57,924,4515.5835,0,0
1780353000,4481.59,4483.59,4481.41,4481.44,616,4515.5835,0,0
1780353300,4481.42,4482.93,4479.74,4482.85,925,4515.5835,0,0
1780353600,4482.8,4483.68,4481.16,4481.67,847,4515.5835,0,0
1780353900,4481.68,4485.85,4481.61,4484.2,766,4515.5835,0,0
1780354200,4484.21,4484.77,4483.54,4483.96,665,4515.5835,0,0
1780354500,4483.96,4486.63,4483.9,4485.69,1136,4515.5835,0,0
1780354800,4485.63,4487.79,4481.73,4486.39,1297,4515.5835,0,0
1780355100,4486.38,4486.43,4484.85,4485.33,624,4515.5835,0,0
1780355400,4485.33,4486.46,4485.23,4486.17,791,4515.5835,0,0
1780355700,4486.17,4488.1,4485.98,4486.67,781,4515.5835,0,0
1780356000,4486.66,4487.78,4485.58,4487.77,530,4515.5835,0,0
1780356300,4487.77,4488.32,4487.25,4487.32,635,4515.5835,0,0
1780356600,4487.32,4487.55,4484.76,4484.85,956,4515.5835,0,0
1780356900,4484.85,4485.58,4480.67,4484.56,1265,4515.5835,0,0
1780357200,4484.57,4486.76,4483.49,4483.49,1167,4515.5835,0,0
1780357500,4483.49,4483.49,4479.45,4481.11,1556,4515.5835,0,0
1780357800,4481.11,4484.9,4480.96,4484.79,1345,4515.5835,0,0
1780358100,4484.79,4485.91,4484.05,4484.52,991,4515.5835,0,0
1780358400,4484.52,4485.14,4481.47,4484.51,2160,4515.5835,0,0
1780358700,4484.51,4485.23,4476.78,4478.45,2640,4515.5835,0,0
1780359000,4478.48,4481.56,4478.2,4481.23,2306,4515.5835,0,0
1780359300,4481.23,4485.54,4481.06,4485.17,2323,4515.5835,0,0
1780359600,4485.18,4489.71,4484.25,4489.71,2013,4515.5835,0,0
1780359900,4489.72,4493.82,4488.63,4493.78,2136,4515.5835,0,0
1780360200,4493.75,4497.16,4488.97,4489.29,2032,4515.5835,0,0
1780360500,4489.31,4491.55,4488.57,4489.22,1831,4515.5835,0,0
1780360800,4489.22,4489.49,4485.25,4487.18,1935,4515.5835,0,0
1780361100,4487.17,4487.82,4480.87,4481.48,1872,4515.5835,0,0
1780361400,4481.48,4484.05,4481.38,4481.83,2103,4515.5835,0,0
1780361700,4481.83,4484.26,4480.86,4481.5,2088,4515.5835,0,0
1780362000,4481.45,4486.82,4473.82,4481.71,3358,4515.5835,0,0
1780362300,4481.71,4485.89,4479.42,4479.44,2937,4515.5835,0,0
1780362600,4479.43,4492.01,4479.01,4490.02,3159,4515.5835,0,0
1780362900,4490.03,4490.23,4481.82,4486.15,3106,4515.5835,0,0
1780363200,4486.18,4488.47,4481.1,4483.16,2737,4515.5835,0,0
1780363500,4483.19,4492.41,4483.15,4486.35,2817,4515.5835,0,0
1780363800,4486.33,4489.47,4486.21,4487.31,2753,4515.5835,0,0
1780364100,4487.32,4489.41,4481.06,4481.92,2749,4515.5835,0,0
1780364400,4481.92,4485.23,4479.6,4479.99,2623,4515.5835,0,0
1780364700,4479.93,4482.29,4471.77,4475.48,2854,4515.5835,0,0
1780365000,4475.48,4476.14,4462.97,4473.67,3119,4515.5835,0,0
1780365300,4473.53,4477.15,4471.48,4474.16,2811,4515.5835,0,0
1780365600,4474.08,4481.13,4472.66,4473.7,2959,4515.5835,0,0
1780365900,4474.06,4475.09,4472.4,4474.81,2455,4515.5835,0,0
1780366200,4474.83,4480.77,4474.1,4480.61,2300,4515.5835,0,0
1780366500,4480.62,4482.07,4478.82,4481.11,1944,4515.5835,0,0
1780366800,4481.14,4484.83,4481.14,4484.04,2050,4515.5835,0,0
1780367100,4484.03,4484.63,4481.67,4481.99,1974,4515.5835,0,0
1780367400,4481.97,4485.75,4480.02,4481.27,2581,4515.5835,0,0
1780367700,4481.27,4483.95,4478.85,4478.92,2098,4515.5835,0,0
1780368000,4478.98,4479.21,4474.5,4476.55,2193,4515.5835,0,0
1780368300,4476.58,4477.91,4473.66,4474.67,1997,4515.5835,0,0
1780368600,4474.62,4479.93,4474.26,4478.83,1758,4515.5835,0,0
1780368900,4478.84,4486.63,4478.84,4485.98,1921,4515.5835,0,0
1780369200,4486.01,4492.74,4485.78,4488.14,2391,4515.5835,0,0
1780369500,4488.13,4489.56,4485.86,4486.64,1943,4515.5835,0,0
1780369800,4486.64,4489.31,4486.24,4488.26,1930,4515.5835,0,0
1780370100,4488.24,4491.29,4488.12,4489.9,1858,4515.5835,0,0
1780370400,4489.89,4490.05,4485.75,4490.05,2102,4515.5835,0,0
1780370700,4490.05,4497.21,4489.62,4495.3,2253,4515.5835,0,0
1780371000,4495.3,4499.35,4493.13,4494,2225,4515.5835,0,0
1780371300,4493.95,4498.91,4493.88,4494.65,1873,4515.5835,0,0
1780371600,4494.65,4497.3,4494.38,4497.29,1609,4515.5835,0,0
1780371900,4497.27,4499.4,4495.43,4498.17,1559,4515.5835,0,0
1780372200,4498.18,4498.34,4497.03,4497.5,1292,4515.5835,0,0
1780372500,4497.5,4499.4,4497.49,4499.33,1073,4515.5835,0,0
1780372800,4499.34,4501.66,4497.8,4500.47,1501,4515.5835,0,0
1780373100,4500.48,4503.26,4500.37,4502.26,1493,4515.5835,0,0
1780373400,4502.27,4505.48,4502.25,4504.73,1394,4515.5835,0,0
1780373700,4504.73,4510.25,4504.3,4507.84,1692,4515.5835,0,0
1780374000,4507.84,4508.23,4505.17,4505.73,1617,4515.5835,0,0
1780374300,4505.73,4506.15,4504.24,4504.62,1584,4515.5835,0,0
1780374600,4504.59,4507.79,4503.51,4507.68,1619,4515.5835,0,0
1780374900,4507.69,4509.09,4507.32,4508.88,1532,4515.5835,0,0
1780375200,4508.89,4511.03,4508.25,4510.33,1520,4515.5835,0,0
1780375500,4510.34,4515.84,4509.88,4512.6,1424,4515.5835,0,1
1780375800,4512.6,4514.41,4511.96,4512.93,1411,4515.5835,0,1
1780376100,4512.93,4518.23,4512.88,4517.4,1455,4515.5835,0,1
1780376400,4517.4,4518.23,4515.83,4515.94,1502,4515.5835,0,1
1780376700,4515.94,4517.59,4515.5,4516.06,1417,4515.5835,0,1
1780377000,4516.07,4518.72,4515.23,4518.63,1459,4515.5835,0,1
1780377300,4518.64,4519.67,4517.15,4518.74,1602,4515.5835,0,1
1780377600,4518.74,4520.63,4517.74,4518.88,1600,4515.5835,0,1
1780377900,4518.73,4521.86,4516.79,4519.72,1871,4515.5835,0,1
1780378200,4519.79,4526.9,4519.76,4525.01,3193,4515.5835,0,1
1780378500,4525.5,4528.23,4523.28,4523.62,2581,4515.5835,0,1
1780378800,4523.62,4526.82,4522.77,4524.46,2079,4515.5835,0,1
1780379100,4524.47,4526.27,4521.91,4523.46,1908,4515.5835,0,1
1780379400,4523.47,4523.79,4518.39,4519.58,1927,4515.5835,0,1
1780379700,4519.58,4519.76,4516.22,4517.07,2110,4515.5835,0,1
1780380000,4517.08,4520.86,4516.97,4520.56,2312,4515.5835,0,1
1780380300,4520.56,4524.85,4520.43,4520.88,2061,4515.5835,0,1
1780380600,4520.9,4522.74,4518.86,4519.09,2144,4515.5835,0,1
1780380900,4519.05,4524.28,4518.08,4520.29,2265,4515.5835,0,1
1780381200,4520.31,4530.71,4520.31,4529.5,2295,4515.5835,0,1
1780381500,4529.52,4534,4526.11,4533.2,2573,4515.5835,0,1
1780381800,4533.21,4537.21,4533.18,4535.57,2445,4515.5835,0,1
1780382100,4535.55,4538.23,4533.86,4534.09,2114,4515.5835,0,1
1780382400,4534.1,4534.64,4531.82,4532.82,1883,4515.5835,0,1
1780382700,4532.82,4535.67,4532.47,4533.71,1707,4515.5835,0,1
1780383000,4533.73,4534.25,4532.02,4533,1583,4515.5835,0,1
1780383300,4533,4536.89,4532.74,4535.81,1886,4515.5835,0,1
1780383600,4535.78,4537.87,4533.4,4536.06,2197,4515.5835,0,1
