time,open,high,low,close,px_fib_active,px_fib_dir,px_fib_origin,px_fib_e1_price,px_fib_e2_price,px_fib_e3_price,px_fib_e4_price,px_fib_100_price,px_fib_tp1_price,px_fib_tp2_price,px_fib_tp3_price,px_fib_e1_touch,px_fib_e2_touch,px_fib_e3_touch,px_fib_e4_touch,px_fib_100_touch,px_fib_tp1_touch,px_fib_tp2_touch,px_fib_tp3_touch,px_fib_reset_active,px_fibo_half_reached,px_sniper_active,px_sniper_dir,px_sniper_created,px_sniper_confirmed,px_sniper_zone_active,px_sniper_top,px_sniper_bot,px_macro_active,px_macro_dir,px_macro_locked,px_macro_visible,px_macro_new_cycle,px_macro_extended,px_macro_top,px_macro_bot,px_macro_e1_price,px_macro_e2_price,px_macro_e3_price,px_macro_e4_price,px_macro_ll_price,px_macro_tp1_price,px_macro_tp2_price,px_macro_hh_price,px_macro_e1_touch,px_macro_e2_touch,px_macro_e3_touch,px_macro_e4_touch,px_macro_ll_touch,px_macro_tp1_touch,px_macro_tp2_touch,px_macro_hh_touch,px_ifib_active,px_ifib_dir,px_ifib_reset_active,px_ifib_e1_touch,px_ifib_e2_touch,px_ifib_e3_touch,px_ifib_e4_touch,px_ifib_100_touch,px_ifib_tp1_touch,px_ifib_tp2_touch,px_ifib_tp3_touch
1783094400,4164.85,4165.56,4164.19,4164.96,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783094700,4164.96,4165.54,4163.12,4165.27,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783095000,4165.26,4165.83,4163.95,4164.21,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783095300,4164.22,4165.06,4162.88,4164.96,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783095600,4164.96,4167.62,4164.48,4167.43,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783095900,4167.39,4167.62,4166.13,4166.78,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783096200,4166.78,4170.52,4166.73,4169.02,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783096500,4169.02,4169.85,4168.04,4169.12,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783096800,4169.12,4170.4,4168.1,4170.18,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783097100,4170.18,4172.04,4169.75,4171.14,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
1783097400,4171.05,4175.84,4170.5,4175.18,1,1,0,4136.7091,4128.724899999999,4120.740699999999,4111.235699999999,4100.4,4147.924999999999,4159.140899999999,4195.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4122.225,4117.0743,0,,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0
