2026-08-10 00:00:01,872 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:00:12,085 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:00:22,208 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:00:32,272 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:00:42,340 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:00:52,369 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:02,410 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:12,424 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:22,452 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:32,475 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:42,508 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-08-10 00:01:52,543 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\mpc_sos_fade_demo\config.json: account_risk_cap_pct. Valid keys: account, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
