sos_utc,year,hour_ny,session,dir,bars_alive,stage_max,reached_zone,edge_ever,veto_ever,armed_ever,traded,verdict,edge_price
2024-06-21T13:30:00,2024,09,NewYork,short,227,2,False,True,True,True,False,never retraced to 0.5,2355.73
2024-06-27T12:00:00,2024,08,London,long,83,2,False,False,True,False,False,never retraced to 0.5,
2024-07-16T12:30:00,2024,08,London,short,3,3,True,False,False,False,False,no FVG in the zone,
2024-07-17T03:15:00,2024,23,Asia,short,41,4,True,False,False,False,False,no FVG in the zone,
2024-07-17T15:00:00,2024,11,NewYork,short,105,4,True,True,False,True,True,traded,2472.05
2024-07-24T02:15:00,2024,22,Asia,long,41,2,False,False,False,False,False,never retraced to 0.5,
2024-07-24T17:45:00,2024,13,NewYork,short,25,2,False,True,True,True,False,never retraced to 0.5,2426.85
2024-07-26T14:00:00,2024,10,NewYork,long,195,4,True,True,False,True,True,traded,2368.91
2024-08-01T02:30:00,2024,22,Asia,short,22,3,True,False,False,False,False,no FVG in the zone,
2024-08-01T12:30:00,2024,08,London,long,64,4,True,False,False,False,False,no FVG in the zone,
2024-08-02T14:30:00,2024,10,NewYork,short,76,4,True,True,False,True,False,"limit rested, never filled",2448.63
2024-08-14T13:15:00,2024,09,NewYork,short,90,4,True,True,False,True,True,traded,2459.42
2024-08-16T11:45:00,2024,07,London,long,166,2,False,True,True,True,False,never retraced to 0.5,2459.99
2024-08-22T14:00:00,2024,10,NewYork,short,1361,4,True,True,True,True,True,traded,2510.01
2024-09-12T13:00:00,2024,09,NewYork,long,76,2,False,False,True,False,False,never retraced to 0.5,
2024-09-17T03:45:00,2024,23,Asia,short,21,4,True,False,False,False,False,no FVG in the zone,
2024-09-18T18:00:00,2024,14,NewYork,long,5,4,True,False,False,False,False,no FVG in the zone,
2024-09-18T19:30:00,2024,15,NewYork,short,132,4,True,True,False,True,True,traded,2576.22
2024-09-20T06:45:00,2024,02,Asia,long,15,2,False,True,True,True,False,never retraced to 0.5,2559.68
2024-09-23T07:45:00,2024,03,Asia,short,23,4,True,False,False,False,False,no FVG in the zone,
2024-09-25T06:00:00,2024,02,Asia,short,42,4,True,False,False,False,False,no FVG in the zone,
2024-09-26T10:30:00,2024,06,London,long,108,4,True,False,True,False,False,no FVG in the zone,
