2026-09-16 00:59:47,416 [INFO] Stop requested by file — shutting down cleanly.
2026-09-16 00:59:47,419 [INFO] Stop requested — shutting down.
2026-09-16 00:59:47,419 [INFO] Cleared a stale stop.request from a previous run.
2026-09-16 00:59:48,347 [INFO] MT5 disconnected.
2026-09-16 01:00:11,874 [INFO] SOS Fade | SosFadeStrategy v182 | hash 11351a74e708 | commit eb8ed4b8 | frozen | LIVE
2026-09-16 01:00:12,523 [INFO] Connected | #34957946 | $10,311.48 | PUPrime-Live
2026-09-16 01:00:12,523 [INFO] MT5 connection lock released
2026-09-16 01:00:12,820 [INFO] Sizing against account balance $10,311.48
2026-09-16 01:00:12,851 [INFO] Re-entry fill clock: M5 — a second bar stream beside M15.
2026-09-16 12:12:29,948 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:12:40,008 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:12:50,141 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:00,226 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:10,303 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:20,378 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:30,421 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:40,472 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:13:50,522 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
2026-09-16 12:14:00,555 [WARNING] Config changed but could not be parsed (Unknown key(s) in C:\trading\algos\markets\fx\instances\sos_fade_demo\config.json: account_priority. Valid keys: account, account_risk_cap_pct, bot_key, broker_tz_offsets, display_name, initial_capital, magic, margin_safety_pct, mt5_path, poll_seconds, promoted_at, promoted_commit, server, setup_alert_categories, sizing_basis_adjustment, strategy_class, strategy_package, strategy_params, strategy_source_hash, strategy_version, symbol, telegram_chat_id, telegram_health_chat, telegram_signal_chat, telegram_token_key, timeframe, warmup_bars) — ignoring it for now and staying on the settings already loaded.
